method	threads	rows	median_time_seconds
wss://localhost:1294	default	1	0.029
wss://localhost:1294	default	10	0.028
wss://localhost:1294	default	100	0.043
wss://localhost:1294	default	1000	0.043
wss://localhost:1294	default	10000	0.046
wss://localhost:1294	default	100000	0.074
wss://localhost:1294	default	1000000	0.34
wss://localhost:1294	default	10000000	2.782
wss://localhost:1294	default	100000000	27.471
https://localhost:8080	default	1	0.032
https://localhost:8080	default	10	0.025
https://localhost:8080	default	100	0.043
https://localhost:8080	default	1000	0.044
https://localhost:8080	default	10000	0.047
https://localhost:8080	default	100000	0.072
https://localhost:8080	default	1000000	0.325
https://localhost:8080	default	10000000	2.572
https://localhost:8080	default	100000000	26.401
http://localhost:8081	default	1	0.022
http://localhost:8081	default	10	0.017
http://localhost:8081	default	100	0.035
http://localhost:8081	default	1000	0.034
http://localhost:8081	default	10000	0.036
http://localhost:8081	default	100000	0.058
http://localhost:8081	default	1000000	0.259
http://localhost:8081	default	10000000	1.995
http://localhost:8081	default	100000000	19.643
/tmp/duckdb-rpc-socket	default	1	0.02
/tmp/duckdb-rpc-socket	default	10	0.015
/tmp/duckdb-rpc-socket	default	100	0.034
/tmp/duckdb-rpc-socket	default	1000	0.033
/tmp/duckdb-rpc-socket	default	10000	0.034
/tmp/duckdb-rpc-socket	default	100000	0.055
/tmp/duckdb-rpc-socket	default	1000000	0.247
/tmp/duckdb-rpc-socket	default	10000000	1.933
/tmp/duckdb-rpc-socket	default	100000000	19.253
